"Package","Version"
"RVAideMemoire","0.9-83-12"
"taxize","0.10.1"
"indicspecies","1.8.0"
"vegan","2.7-2"
"permute","0.9-10"
"janitor","2.2.1"
"readxl","1.4.5"
"lubridate","1.9.5"
"forcats","1.0.1"
"dplyr","1.2.1"
"purrr","1.2.1"
"readr","2.2.0"
"tidyr","1.3.2"
"tibble","3.3.1"
"ggplot2","4.0.1"
"tidyverse","2.0.0"
"sf","1.1-0"
"leaflet","2.2.3"
"kableExtra","1.4.0"
"stringr","1.6.0"
"fs","2.1.0"
"glue","1.8.1"
"htmlwidgets","1.6.4"
"DT","0.34.0"
"desc","1.4.3"
"rmarkdown","2.31"
"knitr","1.51"
"bookdown","0.46"
